from,to,weight
Platzeck,1,3
Platzeck,11,1
Pofalla,5,3
Pofalla,9,1
Praetorius,7,3
Tillich,1,3
Tillich,11,1
Hasselfeldt,1,2
Hasselfeldt,10,1
Kampeter,2,2
Kampeter,9,1
Kapferer,2,2
Kapferer,13,1
Kempf,2,2
Nemat,5,2
Reiche,2,2
Reiche,9,1
Roestel,6,2
Roestel,12,1
Schweitzer,2,2
Schweitzer,5,2
Grothus,8,2
Wodtke,8,2
Wodtke,9,2
Herntier,8,2
Kreuzberg,8,2
Kreuzberg,9,2
Priggen,8,2
Priggen,12,1
Vassiliadis,3,2
Vassiliadis,11,1
Scheidt,3,2
Scheidt,6,3
Koerzell,3,2
Koerzell,11,1
Kaiser,4,2
Weiger,4,2
Niebert,4,2
Allmendinger,7,2
Matthes,7,2
Schellnhuber,7,2
Niebuhr,7,2
Wehrspohn,7,2
Laemmel,1,1
Laemmel,9,2
Lenz,1,1
Lenz,10,2
Miersch,1,1
Miersch,11,2
